,en_curid,name,numlangs,birthcity,birthstate,countryName,countryCode,countryCode3,LAT,LON,continentName,birthyear,gender,occupation,industry,domain,TotalPageViews,L_star,StdDevPageViews,PageViewsEnglish,PageViewsNonEnglish,AverageViews,HPI
4802,196603,Óscar Arias,48,Heredia,,COSTA RICA,CR,CRI,9.996389,-84.116667,North America,1940,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,942197,7.950024662000001,3504.327711,317788,624409,19629.10417,23.70139877
8025,740416,Monica of Hippo,28,Souk Ahras,,ALGERIA,DZ,DZA,36.286389,7.951111,Africa,331,Female,RELIGIOUS FIGURE,RELIGION,INSTITUTIONS,941848,7.49999324,7427.087162999999,342463,599385,33637.42857,24.57479107
5742,287161,Brian Cowen,43,Tullamore,,Ireland,IE,IRL,53.2667,-7.5,Europe,1960,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,940595,4.579956824,11779.403540000001,624462,316133,21874.302330000002,18.48569077
9802,3137245,Nehemiah,26,Babylon,,Iraq,IQ,IRQ,32.536389,44.420833,Asia,-400,Male,RELIGIOUS FIGURE,RELIGION,INSTITUTIONS,940432,3.42988598,5183.2520859999995,632607,307825,36170.46154,23.67045693
10194,5725878,Nguyễn Minh Triết,36,Binh Duong Province,,Vietnam,VN,VNM,11.333,106.5,Asia,1942,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,939693,4.295116917,5811.4613899999995,63587,876106,26102.58333,22.60816868
9269,1744053,George Tupou V,45,Tongatapu,,TONGA,TO,TON,-21.211389,-175.153056,Oceania,1948,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,938811,6.638357752,35157.89602,514754,424057,20862.466669999998,19.96214728
7849,671148,Ibrahim Ferrer,26,San Luis,,Cuba,CU,CUB,20.188056,-75.848611,North America,1927,Male,SINGER,MUSIC,ARTS,935236,8.277522477,1730.1966129999998,344340,590896,35970.61538,23.89006566
6331,348814,Veselin Topalov,46,Rousse,,Bulgaria,BG,BGR,43.85,25.966667,Europe,1975,Male,CHESSMASTER,INDIVIDUAL SPORTS,SPORTS,934794,9.958301628,6926.970977,431913,502881,20321.6087,17.9359294
6624,392566,Vladimir Zhirinovsky,42,Almaty,,KAZAKHSTAN,KZ,KAZ,43.2775,76.895833,Asia,1946,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,934593,9.360784487,7011.485543000001,433620,500973,22252.21429,22.318874800000003
3403,98637,Roh Tae-woo,32,Daegu,,South Korea,KR,KOR,35.866667,128.6,Asia,1932,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,932733,6.795959176,5926.819293,222488,710245,29147.90625,22.80731953
3295,89326,Michael Curtiz,35,Budapest,,Hungary,HU,HUN,47.4925,19.051389,Europe,1886,Male,FILM DIRECTOR,FILM AND THEATRE,ARTS,927490,9.273240431,3010.851802,394772,532718,26499.71429,23.91616363
7372,541883,Tore André Flo,27,Flo,,NORWAY,NO,NOR,61.945556,7.024444,Europe,1973,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,926967,6.7226601,3632.594497,481427,445540,34332.111110000005,17.84891758
10971,21298487,Andry Rajoelina,37,Antananarivo,,MADAGASCAR,MG,MDG,-18.933332999999998,47.516667,Africa,1974,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,926450,6.764889844,20280.637759999998,460477,465973,25039.18919,16.33370388
9206,1658695,Idriss Carlos Kameni,28,Douala,,CAMEROON,CM,CMR,4.05,9.7,Africa,1984,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,926123,7.366249946,8287.068293,406324,519799,33075.82143,15.50180305
9457,2141084,Bilal ibn Ribah,29,Mecca,,SAUDI ARABIA,SA,SAU,21.416667,39.816666999999995,Asia,580,Male,RELIGIOUS FIGURE,RELIGION,INSTITUTIONS,923839,8.211701991,8547.030037999999,239475,684364,31856.517239999997,24.55780054
7015,442309,Jan Garbarek,26,Mysen,,NORWAY,NO,NOR,59.55,11.333333,Europe,1947,Male,MUSICIAN,MUSIC,ARTS,923558,8.552943957,2419.378758,332793,590765,35521.46154,22.81237085
9920,3774806,Bertie Ahern,44,Dublin,,Ireland,IE,IRL,53.368,-6.256,Europe,1951,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,923489,5.074537499,9230.511453000001,622727,300762,20988.38636,20.18571888
10856,19337462,Elena Ceauşescu,26,Petrești,,ROMANIA,RO,ROU,45.083,25.55,Europe,1916,Female,POLITICIAN,GOVERNMENT,INSTITUTIONS,923091,8.402847041,8842.211212,157636,765455,35503.5,22.60637397
6602,392300,Hamad bin Isa Al Khalifah,38,Riffa,,BAHRAIN,BH,BHR,26.13,50.555,Asia,1950,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,922929,8.499630948,11342.01058,384665,538264,24287.60526,21.0847259
3946,153575,John I of Portugal,37,Lisbon,,PORTUGAL,PT,PRT,38.713889,-9.139444000000001,Europe,1358,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,922920,6.259454162999999,2492.887059,235199,687721,24943.78378,25.2012599
10355,7663480,Uche Kalu,27,Aba,,Nigeria,NG,NGA,5.116667,7.366667,Africa,1986,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,921292,7.165204522000001,7697.76195,329043,592249,34121.92593,15.299523800000001
9610,2464235,Stéphane Lambiel,26,Martigny,,SWITZERLAND,CH,CHE,46.1,7.066667,Europe,1985,Male,SKATER,INDIVIDUAL SPORTS,SPORTS,918872,5.087771349,19385.7207,208063,710809,35341.23077,14.34471689
2968,74658,Valentinian I,49,Vinkovci,,CROATIA,HR,HRV,45.291111,18.801111,Europe,321,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,918134,12.21681966,3308.7400850000004,345932,572202,18737.42857,26.36324799
53,1529,Ahmed III,45,Constanta,,Bulgaria,BG,BGR,43.566666999999995,27.833333000000003,Europe,1673,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,917948,14.28283699,8512.533112000001,201641,716307,20398.84444,24.55621575
4758,193872,Jean-Jacques Dessalines,31,Guinea,,Guinea,GN,GIN,9.516667,-13.7,Africa,1758,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,917835,4.859139754,7014.784616,482543,435292,29607.58065,22.5931292
5768,291593,Ali Pasha,27,Tepelenë,,Albania,AL,ALB,40.266667,20.033333,Europe,1740,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,913807,7.2865313679999995,6011.137095,430720,483087,33844.7037,23.16353444
4984,210142,Peter II of Yugoslavia,32,Belgrade,,SERBIA,RS,SRB,44.816666999999995,20.466667,Europe,1923,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,910468,7.708418722999999,5134.499739,443912,466556,28452.125,22.70841908
11324,35991378,Kim Young-sam,51,Geoje,,South Korea,KR,KOR,34.858056,128.618333,Asia,1927,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,907966,8.426928175,5856.1052979999995,189894,718072,17803.2549,23.5277715
7193,486485,Eliezer Ben-Yehuda,39,Luzhki,,Belarus,BY,BLR,,,Europe,1858,Male,LINGUIST,LANGUAGE,HUMANITIES,907681,6.385530752999999,11245.4888,267534,640147,23273.87179,22.639371399999998
5498,253968,Sebastian of Portugal,31,Lisbon,,Portugal,PT,PRT,,,Europe,1554,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,904556,5.442021836,5024.314686,244914,659642,29179.225810000004,23.8652546
6620,392443,Sani Abacha,33,Kano,,Nigeria,NG,NGA,12.0,8.516667,Africa,1943,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,904368,3.467661587,3154.1641170000003,678304,226064,27405.090910000003,21.51504968
4113,160914,Stamford Raffles,34,Jamaica,,Jamaica,JM,JAM,18.182388,-77.321777,North America,1781,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,904210,5.329286026,5285.159847,550553,353657,26594.41176,22.77014374
3857,149639,Ludvig Holberg,27,Bergen,,NORWAY,NO,NOR,60.389444,5.33,Europe,1684,Male,WRITER,LANGUAGE,HUMANITIES,902205,6.320235185,3606.4932740000004,158944,743261,33415.0,24.08480745
10546,11288672,Gelson Fernandes,28,Praia,,CAPE VERDE,CV,CPV,14.918,-23.509,Africa,1986,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,901993,6.236893669,7226.685778,434563,467430,32214.035710000004,15.00243836
9397,2020700,Saad Hariri,29,Riyadh,,SAUDI ARABIA,SA,SAU,24.633333,46.716667,Asia,1970,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,898315,5.947634067,8015.4585799999995,421199,477116,30976.379310000004,17.52427645
10495,9637353,Marin Čilić,30,Medjugorje,,BOSNIA AND HERZEGOVINA,BA,BIH,43.2,17.683332999999998,Europe,1988,Male,TENNIS PLAYER,INDIVIDUAL SPORTS,SPORTS,897741,5.828884819,11745.39163,500728,397013,29924.7,14.00885858
8081,754409,Anousheh Ansari,28,Mashhad,,Iran,IR,IRN,36.3,59.6,Asia,1966,Female,ENGINEER,ENGINEERING,SCIENCE & TECHNOLOGY,894871,5.054576657,2465.861684,533137,361734,31959.67857,18.86021531
6880,418109,Félix Houphouët-Boigny,36,Yamoussoukro,,Ivory Coast,CI,CIV,6.816667,-5.283333,Africa,1905,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,894779,4.7899175519999995,7405.480959999999,314740,580039,24854.97222,22.31601676
8748,1138029,Ricardo Pereira,29,Montijo,,Portugal,PT,PRT,,,Europe,1976,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,893784,7.276410186000001,6987.574315000001,425090,468694,30820.13793,16.87474436
9301,1808036,John Atta-Mills,49,Tarkwa,,Ghana,GH,GHA,5.3,-1.9833330000000002,Africa,1944,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,893520,4.335537724,27216.71025,638456,255064,18235.10204,19.93401227
10255,6449289,Valter Birsa,29,Šempeter pri Gorici,,Slovenia,SI,SVN,45.928378,13.637825,Europe,1986,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,893293,6.457787711,21340.23404,314685,578608,30803.2069,14.19320404
3392,98258,"Haakon, Crown Prince of Norway",30,Rikshospitalet,,NORWAY,NO,NOR,59.9476,10.7146,Europe,1973,Male,NOBLEMAN,GOVERNMENT,INSTITUTIONS,892000,10.89721284,6268.746781,48528,843472,29733.33333,18.49145974
7219,494073,Mariza,27,Maputo,,MOZAMBIQUE,MZ,MOZ,-25.966667,32.583333,Africa,1973,Female,SINGER,MUSIC,ARTS,889033,7.007172818,2596.329261,344275,544758,32927.14815,18.38548749
4595,182328,Jozef Tiso,32,Bytča,,SLOVAKIA,SK,SVK,49.224167,18.564167,Europe,1887,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,888242,11.15573767,2726.728884,203095,685147,27757.5625,24.31319394
1674,38197,John I of Bohemia,28,Other,,Luxembourg,LU,LUX,,,Europe,1296,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,887874,8.015260223,3980.9908969999997,176784,711090,31709.785710000004,24.76165366
9892,3626980,Hashim Thaci,45,Skenderaj,,SERBIA,RS,SRB,42.746666999999995,20.788611,Europe,1968,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,886990,11.70328294,8506.199627,333772,553218,19710.888890000002,19.034909600000002
8889,1290855,Savo Milošević,32,Bijeljina,,Bosnia and Herzegovina,BA,BIH,44.75,19.216667,Europe,1973,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,886532,8.505668145,4663.587186,416736,469796,27704.125,18.01263845
2706,66054,Harald III of Norway,35,Ringerike,,NORWAY,NO,NOR,60.205278,10.1525,Europe,1015,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,882725,7.801332522999999,7222.536118000001,417064,465661,25220.71429,24.17144524
8246,814724,Jaber Al-Ahmad Al-Jaber Al-Sabah,26,Kuwait City,,KUWAIT,KW,KWT,29.369721999999996,47.978333,Asia,1926,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,882285,4.49574957,4218.183833,301795,580490,33934.03846,22.320772899999998
9778,3048448,Arnaldur Indriðason,27,Reykjavik,,ICELAND,IS,ISL,64.133333,-21.933332999999998,Europe,1961,Male,WRITER,LANGUAGE,HUMANITIES,881391,9.282637361,4976.732708,247936,633455,32644.11111,20.06177973
10746,17541440,Michel Sulaiman,36,Amsheet,,Lebanon,LB,LBN,,,Asia,1948,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,879486,8.659551578,5255.944473,392742,486744,24430.16667,21.97788548
6509,378466,Fidel V. Ramos,35,Lingayen,,Philippines,PH,PHL,16.02,120.230833,Asia,1928,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,870346,1.150432452,5579.823079,851448,18898,24867.02857,17.52006047
5325,240550,Trygve Lie,53,Oslo,,NORWAY,NO,NOR,59.95,10.75,Europe,1896,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,868391,13.08222967,2858.521138,342614,525777,16384.73585,24.58903306
8045,745324,Jochi,38,Mongolia,,Mongolia,MN,MNG,46.0,105.0,Asia,1180,Male,MILITARY PERSONNEL,MILITARY,INSTITUTIONS,865792,9.645017427,3428.664161,286543,579249,22784.0,25.27940952
9651,2588797,Emina Jahović,35,Novi Pazar,,Serbia,RS,SRB,43.15,20.516667,Europe,1982,Female,SINGER,MUSIC,ARTS,865495,5.808915242,9196.418482,300419,565076,24728.42857,15.73294837
406,10101,Eugene Wigner,45,Budapest,,HUNGARY,HU,HUN,47.4925,19.051389,Europe,1902,Male,PHYSICIST,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,865047,10.88080217,2855.19616,371313,493734,19223.266669999997,24.13759975
