,en_curid,name,numlangs,birthcity,birthstate,countryName,countryCode,countryCode3,LAT,LON,continentName,birthyear,gender,occupation,industry,domain,TotalPageViews,L_star,StdDevPageViews,PageViewsEnglish,PageViewsNonEnglish,AverageViews,HPI,image_path
9800,3134319,Elano Blumer,32,Iracemápolis,,BRAZIL,BR,BRA,-22.580556,-47.518611,South America,1981,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,2979867,8.610712499,34822.49522,1121654,1858213,93120.84375,17.29800161,images/elano-blumer.png
3144,81473,Pedro II of Brazil,43,Rio de Janeiro,,BRAZIL,BR,BRA,-22.908333,-43.196389,South America,1825,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,2794865,3.510417223,15826.56904,789440,2005425,64996.86047000001,24.20277886,images/pedro-ii-of-brazil.png
4512,177278,Caetano Veloso,28,Santo Amaro,,BRAZIL,BR,BRA,-12.546944,-38.711944,South America,1942,Male,MUSICIAN,MUSIC,ARTS,2722713,4.973743486,10719.673490000001,621032,2101681,97239.75,23.83013617,images/caetano-veloso.png
9075,1486014,Dunga,35,Ijuí,,BRAZIL,BR,BRA,-28.387778000000004,-53.915,South America,1963,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,2713218,9.099963242000001,36030.90167,911364,1801854,77520.51428999999,20.17757796,images/dunga.png
10191,5716615,Maxwell Cabelino Andrade,35,Cachoeiro de Itapemirim,,BRAZIL,BR,BRA,-20.848889,-41.112778000000006,South America,1981,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,2672590,8.119854711,25251.01064,1066862,1605728,76359.71429,17.39544771,images/maxwell-cabelino-andrade.png
10633,13211909,Ramires,35,Barra do Piraí,,BRAZIL,BR,BRA,-22.47,-43.825833,South America,1987,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,2594845,4.109268844,35160.0146,1783429,811416,74138.42857,14.66434136,images/ramires.png
3163,82491,Fernando Henrique Cardoso,37,Rio de Janeiro,,BRAZIL,BR,BRA,-22.908333,-43.196389,South America,1931,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,2557129,3.818593859,15911.1772,426935,2130194,69111.59459,23.50425226,images/fernando-henrique-cardoso.png
6903,421320,Jorge Amado,40,Itabuna,,BRAZIL,BR,BRA,-14.785832999999998,-39.28,South America,1912,Male,WRITER,LANGUAGE,HUMANITIES,2540049,4.2593158980000005,27051.652869999998,226757,2313292,63501.225,23.38680036,images/jorge-amado.png
10287,6845315,Amauri,27,Carapicuíba,,BRAZIL,BR,BRA,-23.519167000000003,-46.835833,South America,1980,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,2500421,6.07055584,17938.74033,652099,1848322,92608.18519,17.42614421,images/amauri.png
2790,68997,Fernando Collor de Mello,32,Rio de Janeiro,,BRAZIL,BR,BRA,-22.908333,-43.196389,South America,1949,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,2470866,2.627430662,20068.80858,261770,2209096,77214.5625,21.71918448,images/fernando-collor-de-mello.png
4514,177304,Heitor Villa-Lobos,38,Rio de Janeiro,,BRAZIL,BR,BRA,-22.908333,-43.196389,South America,1887,Male,COMPOSER,MUSIC,ARTS,2442874,6.225506007000001,15931.347580000001,532653,1910221,64286.157889999995,24.17358601,images/heitor-villa-lobos.png
9982,4248823,Bruno Senna,36,São Paulo,,BRAZIL,BR,BRA,-23.55,-46.633333,South America,1983,Male,RACECAR DRIVER,INDIVIDUAL SPORTS,SPORTS,2408981,7.630219915,22278.28072,1061960,1347021,66916.13889,16.87488199,images/bruno-senna.png
10028,4585368,Alex Rodrigo Dias da Costa,36,Niterói,,BRAZIL,BR,BRA,-22.883333,-43.103611,South America,1982,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,2405317,6.515313314,18996.6173,1223096,1182221,66814.36111,16.91075919,images/alex-rodrigo-dias-da-costa.png
10919,20581906,Fabio,36,Petrópolis,,BRAZIL,BR,BRA,-22.505,-43.178889,South America,1990,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,2401113,5.167907553,21290.79566,1447023,954090,66697.58333,14.99074205,images/fabio.png
10173,5603411,Lucas Leiva,31,Dourados,,BRAZIL,BR,BRA,-22.220833,-54.80583299999999,South America,1987,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,2398393,6.138910731,15958.68591,1306868,1091525,77367.51612999999,15.9521113,images/lucas-leiva.png
8731,1129210,Bebeto,36,Salvador,,BRAZIL,BR,BRA,-12.974722,-38.476667,South America,1964,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,2351366,10.66598269,12103.85506,705245,1646121,65315.72222,21.06442711,images/bebeto.png
8892,1296559,Gilberto Silva,40,Lagoa da Prata,,BRAZIL,BR,BRA,-20.016667,-45.533333,South America,1976,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,2308030,7.436667796,10458.42707,1177857,1130173,57700.75,18.64370001,images/gilberto-silva.png
4908,204645,Nelson Piquet,36,Rio de Janeiro,,BRAZIL,BR,BRA,-22.908333,-43.196389,South America,1952,Male,RACECAR DRIVER,INDIVIDUAL SPORTS,SPORTS,2253732,9.595009247,8798.561534999999,665400,1588332,62603.666670000006,23.0716998,images/nelson-piquet.png
7175,483149,Gustavo Kuerten,39,Florianópolis,,BRAZIL,BR,BRA,-27.5717,-48.6256,South America,1976,Male,TENNIS PLAYER,INDIVIDUAL SPORTS,SPORTS,2217638,7.649362888,19163.75525,774249,1443389,56862.51282,18.24564043,images/gustavo-kuerten.png
10422,8295662,Zé Roberto,30,São Paulo,,BRAZIL,BR,BRA,-23.55,-46.633333,South America,1974,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,2179652,10.01053306,10089.185609999999,536946,1642706,72655.06667,19.32961062,images/zé-roberto.png
10054,4771427,Adriano Correia Claro,35,Curitiba,,BRAZIL,BR,BRA,-25.416667,-49.25,South America,1984,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,2140667,8.756950512000001,23854.04575,876744,1263923,61161.91429,16.56702715,images/adriano-correia-claro.png
9918,3766229,Nilmar,31,Bandeirantes,,Brazil,BR,BRA,-23.11,-50.367778,South America,1984,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,2131117,9.679346713,20341.67141,584092,1547025,68745.70968,16.9027374,images/nilmar.png
