,en_curid,name,numlangs,birthcity,birthstate,countryName,countryCode,countryCode3,LAT,LON,continentName,birthyear,gender,occupation,industry,domain,TotalPageViews,L_star,StdDevPageViews,PageViewsEnglish,PageViewsNonEnglish,AverageViews,HPI,image_path
9545,2322845,Thiago Motta,38,São Bernardo do Campo,,BRAZIL,BR,BRA,-23.7,-46.55,South America,1982,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,4220031,7.857772043,50606.77334,1470506,2749525,111053.4474,17.57854379,thiago-motta.png
9821,3168862,Eduardo da Silva,44,Rio de Janeiro,,BRAZIL,BR,BRA,-22.908333,-43.196389,South America,1983,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,4078102,7.485270596,37976.98387,2092008,1986094,92684.13636,17.4377074,eduardo-da-silva.png
10289,6858503,Marcelo Vieira,43,Rio de Janeiro,,BRAZIL,BR,BRA,-22.908333,-43.196389,South America,1988,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,3998307,9.420100661000001,42135.465769999995,1350686,2647621,92983.88372,16.96264499,marcelo-vieira.png
7917,700574,Garrincha,47,Pau Grande,,Brazil,BR,BRA,-22.584444,-43.169722,South America,1933,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,3950770,11.10854606,17469.259869999998,945978,3004792,84058.93617,25.47910218,garrincha.png
7773,647263,Felipe Massa,57,São Paulo,,BRAZIL,BR,BRA,-23.55,-46.633333,South America,1981,Male,RACECAR DRIVER,INDIVIDUAL SPORTS,SPORTS,3902306,10.56913578,40085.836039999995,1440555,2461751,68461.50877,18.49043508,felipe-massa.png
9985,4288926,Anderson Luís de Abreu Oliveira,46,Porto Alegre,,BRAZIL,BR,BRA,-30.033056,-51.23,South America,1988,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,3835948,5.885046602999999,13631.23465,2224018,1611930,83390.17391,17.15049744,anderson-luís-de-abreu-oliveira.png
9161,1596818,Luís Fabiano,37,Campinas,,BRAZIL,BR,BRA,-22.900833,-47.057221999999996,South America,1980,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,3824730,8.672608301,39985.35912,1477709,2347021,103371.0811,17.96029137,luís-fabiano.png
7641,615800,Cafu,45,São Paulo,,Brazil,BR,BRA,-23.55,-46.633333,South America,1970,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,3806118,10.78559836,14976.77961,1307444,2498674,84580.4,21.03333247,cafu.png
10568,11885871,Felipe Melo de Carvalho,35,Volta Redonda,,BRAZIL,BR,BRA,-22.522778,-44.103889,South America,1983,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,3758381,7.846598833,42144.54429,1033985,2724396,107382.3143,17.38631732,felipe-melo-de-carvalho.png
10385,7934578,Thiago Emiliano da Silva,35,Rio de Janeiro,,BRAZIL,BR,BRA,-22.908333,-43.196389,South America,1984,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,3587999,10.07975734,57534.278289999995,1436,3586563,102514.2571,17.38673272,thiago-emiliano-da-silva.png
5479,252989,Rubens Barrichello,50,São Paulo,,BRAZIL,BR,BRA,-23.55,-46.633333,South America,1972,Male,RACECAR DRIVER,INDIVIDUAL SPORTS,SPORTS,3441875,9.016158906,17412.90686,1418512,2023363,68837.5,20.17712564,rubens-barrichello.png
6003,314055,Juscelino Kubitschek de Oliveira,39,Diamantina,,BRAZIL,BR,BRA,-18.249000000000002,-43.6,South America,1902,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,3370083,2.279151826,20548.032619999998,207060,3163023,86412.38462000001,23.67487305,juscelino-kubitschek-de-oliveira.png
9346,1896500,Lúcio,41,Brasilia,,BRAZIL,BR,BRA,-15.619167000000001,-47.6525,South America,1978,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,3314419,8.424249753,35938.77804,1301075,2013344,80839.4878,18.1721902,lúcio.png
8067,751881,Luiz Felipe Scolari,39,Passo Fundo,,BRAZIL,BR,BRA,-28.25,-52.4,South America,1948,Male,COACH,TEAM SPORTS,SPORTS,3244065,7.999939766000001,35690.45192,1307446,1936619,83181.15385,22.74938121,luiz-felipe-scolari.png
8730,1129182,Leonardo Araújo,32,Niterói,,Brazil,BR,BRA,-22.883333,-43.103611,South America,1969,Male,COACH,TEAM SPORTS,SPORTS,3230236,7.241001702,35125.58279,908999,2321237,100944.875,19.36325098,leonardo-araújo.png
8212,794885,Vagner Love,28,Rio de Janeiro,,BRAZIL,BR,BRA,-22.908333,-43.196389,South America,1984,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,3156572,8.524838273,21834.60485,927079,2229493,112734.7143,17.36140066,vagner-love.png
9368,1949483,Rogério Ceni,29,Pato Branco,,BRAZIL,BR,BRA,-26.216666999999998,-52.666667000000004,South America,1973,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,3141694,7.3466638070000005,27585.458960000004,912750,2228944,108334.2759,18.81239291,rogério-ceni.png
3926,152687,Alberto Santos-Dumont,30,Santos Dumont,,BRAZIL,BR,BRA,-21.456667000000003,-43.5525,South America,1873,Male,INVENTOR,INVENTION,SCIENCE & TECHNOLOGY,2995065,3.38131904,25010.59485,531689,2463376,99835.5,23.40990366,alberto-santos-dumont.png
9452,2129433,Júlio Baptista,35,São Paulo,,BRAZIL,BR,BRA,-23.55,-46.633333,South America,1981,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,2990436,8.649334086,18845.05789,1103272,1887164,85441.02857000001,18.02510236,júlio-baptista.png
